term,estimate,std.error,statistic,p.value
archresnet101d:augmentationMixUp,0.05130322380662734,0.011351933614457138,4.519337898636991,6.226984923609361e-6
archresnet18d:augmentationMixUp,-0.00974124005232649,0.011351933614457096,-0.8581128451914721,0.3908370044641094
archresnet50:augmentationMixUp,-0.023364983271281555,0.011351933614457122,-2.058238187855975,0.03957588423316573
archresnet50d:augmentationMixUp,0.02380229488889175,0.011351933614457107,2.096761282904143,0.03602305633654698
archwide_resnet50_2:augmentationMixUp,-0.05814942429301023,0.011351933614457323,-5.122424625435942,3.034952757498623e-7
archig_resnext101_32x8d:augmentationCutMix,0.09295389147266,0.011351933614457283,8.188375181676392,2.7516407448278357e-16
archresnet101d:augmentationCutMix,0.12875319326574752,0.011351933614457195,11.341961434814468,9.347371961565137e-30
archresnet18d:augmentationCutMix,0.060072297567501785,0.011351933614456727,5.291811915725045,1.2195927708968156e-7
archresnet50:augmentationCutMix,0.0704083408999028,0.011351933614457174,6.2023214098287855,5.636112732488156e-10
archresnet50d:augmentationCutMix,0.10174854964579476,0.011351933614457209,8.96310294804872,3.3350508374570184e-19
archwide_resnet50_2:augmentationCutMix,0.0364200793414223,0.011351933614457238,3.208270994030441,0.0013367572309380391
bp_valid.L:augmentationMixUp,0.003907913498142883,0.007431585010337732,0.5258519538842341,0.5989949570083191
bp_valid.Q:augmentationMixUp,-0.006958183239204342,0.007431585010337834,-0.9362986805001949,0.34912695744459443
bp_valid.C:augmentationMixUp,0.004087375016160864,0.007431585010337921,0.5500004387321148,0.5823231635623617
bp_valid^4:augmentationMixUp,2.0471630490009806e-4,0.0074315850103377126,0.027546789092142157,0.9780238047554486
bp_valid^5:augmentationMixUp,0.005062321048976919,0.007431585010337908,0.6811899536821338,0.49575655720128764
bp_valid^6:augmentationMixUp,-0.004185387318562724,0.007431585010337841,-0.5631890522332135,0.5733103621285582
bp_valid^7:augmentationMixUp,0.0020569616728045408,0.007431585010337781,0.2767864015473393,0.7819460285626872
bp_valid^8:augmentationMixUp,0.0040187749723678496,0.007431585010337813,0.5407695621832321,0.5886704362517894
bp_valid.L:augmentationCutMix,-0.016057565031676383,0.0074315850103376675,-2.1607187442974265,0.030724954634789556
bp_valid.Q:augmentationCutMix,0.00479993289147259,0.0074315850103376995,0.6458827941543624,0.5183601990254117
bp_valid.C:augmentationCutMix,7.648631917649597e-5,0.007431585010337823,0.010292060047768878,0.9917883375367038
bp_valid^4:augmentationCutMix,-1.0919022584483948e-4,0.007431585010337815,-0.014692723785430541,0.9882774219260577
bp_valid^5:augmentationCutMix,0.010384050795530637,0.007431585010337887,1.3972861483903705,0.16233786394469996
bp_valid^6:augmentationCutMix,-0.007532809615017593,0.007431585010338008,-1.0136208634549388,0.31077186577800037
bp_valid^7:augmentationCutMix,0.002571534922978875,0.007431585010337822,0.346027788069665,0.7293242557115864
bp_valid^8:augmentationCutMix,0.004894338823437188,0.007431585010337919,0.658586131576074,0.5101666205726778
pretrainedTRUE:augmentationMixUp,-0.05292960540986672,0.00990878001378364,-5.341687406142716,9.275472240629067e-8
pretrainedTRUE:augmentationCutMix,0.027942645008998557,0.009908780013783935,2.8199884314848065,0.0048056843316522015
augmentationMixUp:label_smoothingTRUE,-0.050316841863425874,0.004954390006891902,-10.156011495548722,3.409314259985657e-24
augmentationCutMix:label_smoothingTRUE,-0.05158932223566138,0.00495439000689201,-10.412850454626284,2.3928644399258516e-25
pretrainedTRUE:label_smoothingTRUE,-0.053517941188284956,0.004954390006891772,-10.802125208923636,3.773168031775068e-27
archig_resnext101_32x8d:transTRUE,0.0018597907489326696,0.00926881498312284,0.20065032610091768,0.8409733626488047
archresnet101d:transTRUE,0.0018134958944642096,0.009268814983122611,0.1956556364288602,0.8448810341097971
archresnet18d:transTRUE,0.001203168809253606,0.009268814983122884,0.1298082669083799,0.8967189917060636
archresnet50:transTRUE,-0.00950893158878605,0.009268814983123184,-1.0259058580951366,0.30494422543719213
archresnet50d:transTRUE,-0.004479305841065993,0.009268814983122934,-0.4832662912381044,0.62891019496682
archwide_resnet50_2:transTRUE,-0.01942727806309371,0.009268814983122922,-2.0959829383225124,0.036092053772390935
augmentationMixUp:transTRUE,-0.014500243594116858,0.009268814983122658,-1.5644118067433614,0.11773142788920389
augmentationCutMix:transTRUE,-0.005982334072070917,0.00926881498312306,-0.645425988431502,0.5186560980348232
bp_valid.L:pretrainedTRUE:archig_resnext101_32x8d,-0.026366315013483035,0.016054058476724697,-1.6423457689349474,0.10052883835571165
bp_valid.Q:pretrainedTRUE:archig_resnext101_32x8d,-0.020206738736583327,0.01605405847672468,-1.2586685644554765,0.2081598561298486
bp_valid.C:pretrainedTRUE:archig_resnext101_32x8d,0.01836881842457887,0.016054058476724333,1.1441853442361971,0.25255590060217226
bp_valid^4:pretrainedTRUE:archig_resnext101_32x8d,-0.01840742475111405,0.016054058476724833,-1.1465901147551647,0.2515602004948629
bp_valid^5:pretrainedTRUE:archig_resnext101_32x8d,0.02453071978057028,0.01605405847672476,1.5280073768346503,0.1265212397272346
bp_valid^6:pretrainedTRUE:archig_resnext101_32x8d,-0.00919219904795108,0.016054058476724104,-0.5725778974381054,0.5669348156289482
bp_valid^7:pretrainedTRUE:archig_resnext101_32x8d,-0.0034202021856092352,0.016054058476725128,-0.2130428383930319,0.8312949956603161
bp_valid^8:pretrainedTRUE:archig_resnext101_32x8d,-0.018082891487147437,0.016054058476724975,-1.1263750853632335,0.26001578977908096
bp_valid.L:pretrainedTRUE:archresnet101d,0.13490662891139835,0.016054058476724566,8.403272549865703,4.531105940070729e-17
bp_valid.Q:pretrainedTRUE:archresnet101d,-0.07755945392080847,0.016054058476724323,-4.831143105231403,1.3642031322575225e-6
bp_valid.C:pretrainedTRUE:archresnet101d,0.030385075203995655,0.016054058476724708,1.8926725131871271,0.05841104242839238
bp_valid^4:pretrainedTRUE:archresnet101d,0.006842565577204026,0.016054058476725287,0.42622029732383127,0.6699503839406222
bp_valid^5:pretrainedTRUE:archresnet101d,-0.014336346810418172,0.016054058476724305,-0.8930045216418934,0.3718619079151301
bp_valid^6:pretrainedTRUE:archresnet101d,-0.0012036654443895443,0.016054058476724645,-0.07497577301930425,0.940234487415826
bp_valid^7:pretrainedTRUE:archresnet101d,-0.006390115503522427,0.01605405847672458,-0.39803738804034594,0.6906054559833806
bp_valid^8:pretrainedTRUE:archresnet101d,0.010446421171528069,0.016054058476724854,0.6507028230072335,0.5152433194542068
bp_valid.L:pretrainedTRUE:archresnet18d,0.1673124575616551,0.01605405847672479,10.42181687603948,2.17837432183544e-25
